GateV,DrainV,VssV,BodyV,VddV,DrainI,GateI,VssI,BodyI,VddI,TempK,GNDV
0.74,0.0,0,-0.4,0.8,-1.13473e-08,3.3092000000000003e-10,1.10798e-08,-2.57e-12,1.9000000000000002e-13,8.5,0
0.76,0.0,0,-0.4,0.8,-1.14935e-08,3.9396000000000005e-10,1.10993e-08,-3.0400000000000004e-12,-8.800000000000002e-13,8.5,0
0.78,0.0,0,-0.4,0.8,-1.14934e-08,4.740300000000001e-10,1.10272e-08,-3.2700000000000004e-12,-1.2900000000000002e-12,8.5,0
0.8,0.0,0,-0.4,0.8,-1.14935e-08,5.651e-10,1.09588e-08,-2.62e-12,-4.3000000000000004e-13,8.5,0
0.0,0.02,0,-0.4,0.8,2.6100000000000004e-12,7.360000000000001e-12,6.540000000000001e-12,-3.46e-12,3.3e-13,8.5,0
0.02,0.02,0,-0.4,0.8,8.300000000000001e-13,-4.290000000000001e-12,1.088e-11,-3.2200000000000004e-12,7e-14,8.5,0
0.04,0.02,0,-0.4,0.8,3.46e-12,-1.091e-11,4.56e-12,-2.67e-12,9.3e-13,8.5,0
0.06,0.02,0,-0.4,0.8,3.5e-13,-1.22e-11,1.78e-12,-2.87e-12,9.8e-13,8.5,0
0.08,0.02,0,-0.4,0.8,3.1700000000000004e-12,-1.703e-11,-4.99e-12,-3.3100000000000002e-12,6.3e-13,8.5,0
0.1,0.02,0,-0.4,0.8,2.6500000000000002e-12,-9.1e-12,-5.110000000000001e-12,-4.26e-12,4.800000000000001e-13,8.5,0
0.12,0.02,0,-0.4,0.8,1.6300000000000001e-12,-1.126e-11,-6.2e-12,-3.9e-12,-3.3e-13,8.5,0
0.14,0.02,0,-0.4,0.8,1.88e-12,-3.28e-12,2.300000000000001e-13,-2.82e-12,1.8000000000000004e-13,8.5,0
0.16,0.02,0,-0.4,0.8,4.2000000000000003e-13,-5.95e-12,-5.500000000000001e-13,-2.72e-12,1.3e-13,8.5,0
0.18,0.02,0,-0.4,0.8,4.300000000000001e-12,-3.8300000000000004e-12,-8.600000000000001e-13,-2.69e-12,4e-13,8.5,0
0.2,0.02,0,-0.4,0.8,5.460000000000001e-12,-1.051e-11,-6.35e-12,-2.6800000000000007e-12,5.7e-13,8.5,0
0.22,0.02,0,-0.4,0.8,3.1380000000000006e-11,-4.960000000000001e-12,-3.55e-11,-3.3700000000000004e-12,1.1000000000000001e-13,8.5,0
0.24,0.02,0,-0.4,0.8,1.5545000000000002e-10,-9.800000000000001e-12,-1.6351e-10,-3.3600000000000002e-12,1.9000000000000002e-13,8.5,0
0.26,0.02,0,-0.4,0.8,8.3448e-10,-1.83e-12,-8.4149e-10,-3.5700000000000007e-12,-4.500000000000001e-13,8.5,0
0.28,0.02,0,-0.4,0.8,4.1404e-09,-9.29e-12,-4.5172e-09,-2.6800000000000007e-12,4.4000000000000004e-13,8.5,0
0.3,0.02,0,-0.4,0.8,1.79324e-08,-3.3900000000000007e-12,-1.7776999999999998e-08,-2.6300000000000007e-12,-1.6000000000000005e-13,8.5,0
0.32,0.02,0,-0.4,0.8,6.529839999999999e-08,8.26e-12,-6.6139e-08,-3.9300000000000004e-12,2.900000000000001e-13,8.5,0
0.34,0.02,0,-0.4,0.8,2.2412e-07,-2e-12,-2.2374e-07,-2.49e-12,4.1e-13,8.5,0
0.36,0.02,0,-0.4,0.8,7.3542e-07,4.4000000000000004e-13,-7.3672e-07,-3.3200000000000004e-12,4.2000000000000003e-13,8.5,0
0.38,0.02,0,-0.4,0.8,2.1473e-06,1.957e-11,-2.1401e-06,-3.2100000000000007e-12,-6.8e-13,8.5,0
0.4,0.02,0,-0.4,0.8,5.5446e-06,2.2390000000000003e-11,-5.5573e-06,-3.5700000000000007e-12,-7.5e-13,8.5,0
0.42,0.02,0,-0.4,0.8,1.277e-05,2.231e-11,-1.2774e-05,-2.9800000000000002e-12,4.2000000000000003e-13,8.5,0
0.44,0.02,0,-0.4,0.8,2.6832e-05,1.932e-11,-2.674e-05,-3.4900000000000007e-12,-5.2e-13,8.5,0
0.46,0.02,0,-0.4,0.8,5.1286e-05,1.947e-11,-5.1348e-05,-2.75e-12,8.400000000000001e-13,8.5,0
0.48,0.02,0,-0.4,0.8,9.1012e-05,7.71e-12,-9.1018e-05,-2.62e-12,4e-13,8.5,0
0.5,0.02,0,-0.4,0.8,0.0001489,2.651e-11,-0.00014796,-3.92e-12,-1.04e-12,8.5,0
0.52,0.02,0,-0.4,0.8,0.00022434,3.954e-11,-0.00022364,-3.6200000000000003e-12,7e-14,8.5,0
0.54,0.02,0,-0.4,0.8,0.00031496,3.034e-11,-0.00031464,-3.1100000000000007e-12,1.85e-12,8.5,0
0.56,0.02,0,-0.4,0.8,0.00041448,4.4010000000000005e-11,-0.00041596,-2.7800000000000007e-12,8.2e-13,8.5,0
0.58,0.02,0,-0.4,0.8,0.00052016,6.656e-11,-0.0005218,-2.6500000000000002e-12,-5e-13,8.5,0
0.6,0.02,0,-0.4,0.8,0.00062852,9.281e-11,-0.00062694,-2.7800000000000007e-12,-3.7000000000000004e-13,8.5,0
0.62,0.02,0,-0.4,0.8,0.00073224,9.776e-11,-0.00073178,-2.6600000000000004e-12,1.5000000000000004e-13,8.5,0
0.64,0.02,0,-0.4,0.8,0.00083172,1.1835e-10,-0.00082866,-3.1900000000000003e-12,-4.4000000000000004e-13,8.5,0
0.66,0.02,0,-0.4,0.8,0.00092286,1.5827e-10,-0.00091678,-3.65e-12,-5.800000000000002e-13,8.5,0
0.68,0.02,0,-0.4,0.8,0.0010063,1.7581e-10,-0.00099916,-2.5000000000000007e-12,1.02e-12,8.5,0
0.7,0.02,0,-0.4,0.8,0.00107408,1.9866e-10,-0.00108006,-2.8100000000000003e-12,1.7100000000000002e-12,8.5,0
0.72,0.02,0,-0.4,0.8,0.00114052,2.4130000000000004e-10,-0.0011499,-2.51e-12,2.1000000000000001e-13,8.5,0
0.74,0.02,0,-0.4,0.8,0.0012138,3.1092000000000005e-10,-0.0011994,-3.3700000000000004e-12,-8.100000000000001e-13,8.5,0
0.76,0.02,0,-0.4,0.8,0.0012602,3.5465e-10,-0.0012556,-3.25e-12,1.26e-12,8.5,0
0.78,0.02,0,-0.4,0.8,0.0013084,4.1335e-10,-0.001316,-2.6600000000000004e-12,1.0100000000000001e-12,8.5,0
0.8,0.02,0,-0.4,0.8,0.0013622,5.053300000000001e-10,-0.00136,-3.3e-12,-5.500000000000001e-13,8.5,0
0.0,0.04,0,-0.4,0.8,2.0700000000000007e-12,1.117e-11,7.5e-13,-4.200000000000001e-12,-6.000000000000002e-13,8.5,0
0.02,0.04,0,-0.4,0.8,2.92e-12,7.5e-13,4.500000000000001e-13,-4.090000000000001e-12,-1.9000000000000002e-13,8.5,0
0.04,0.04,0,-0.4,0.8,1.0100000000000001e-12,1.2900000000000002e-12,3.97e-12,-3.0300000000000002e-12,-1.3e-13,8.5,0
0.06,0.04,0,-0.4,0.8,4.340000000000001e-12,-8.710000000000001e-12,-9.3e-13,-2.8100000000000003e-12,2.900000000000001e-13,8.5,0
0.08,0.04,0,-0.4,0.8,2.67e-12,-6.15e-12,-2.52e-12,-3.28e-12,6.500000000000002e-13,8.5,0
0.1,0.04,0,-0.4,0.8,3.0400000000000004e-12,-1.139e-11,-7.780000000000001e-12,-3.25e-12,3.800000000000001e-13,8.5,0
0.12,0.04,0,-0.4,0.8,3.65e-12,-1.6200000000000004e-12,-7.21e-12,-4.28e-12,-4.9e-13,8.5,0
0.14,0.04,0,-0.4,0.8,1.03e-12,6.14e-12,-3.95e-12,-4.17e-12,-6.900000000000001e-13,8.5,0
0.16,0.04,0,-0.4,0.8,3.72e-12,1.386e-11,1.65e-12,-4.440000000000001e-12,-7.900000000000001e-13,8.5,0
0.18,0.04,0,-0.4,0.8,1.45e-12,9.01e-12,4.22e-12,-3.67e-12,-3.800000000000001e-13,8.5,0
0.2,0.04,0,-0.4,0.8,1.12e-11,1.256e-11,-3.13e-12,-3.3200000000000004e-12,-1.9000000000000002e-13,8.5,0
0.22,0.04,0,-0.4,0.8,4.235e-11,7.72e-12,-3.963e-11,-3.690000000000001e-12,-4.3000000000000004e-13,8.5,0
0.24,0.04,0,-0.4,0.8,2.3486e-10,7.11e-12,-2.3159e-10,-4.22e-12,-1.6000000000000005e-13,8.5,0
0.26,0.04,0,-0.4,0.8,1.2973e-09,7.880000000000001e-12,-1.2944e-09,-3.8300000000000004e-12,-7.900000000000001e-13,8.5,0
0.28,0.04,0,-0.4,0.8,7.1056e-09,1.306e-11,-6.7113e-09,-4.200000000000001e-12,-1.23e-12,8.5,0
0.3,0.04,0,-0.4,0.8,3.07454e-08,-2.31e-12,-3.0832599999999994e-08,-3.72e-12,-1.14e-12,8.5,0
0.32,0.04,0,-0.4,0.8,1.227e-07,-1.15e-11,-1.2286e-07,-3.4000000000000005e-12,3.800000000000001e-13,8.5,0
0.34,0.04,0,-0.4,0.8,4.0096e-07,6.280000000000001e-12,-3.9566e-07,-3.1900000000000003e-12,9e-14,8.5,0
0.36,0.04,0,-0.4,0.8,1.2120000000000002e-06,5.520000000000001e-12,-1.1921000000000002e-06,-2.75e-12,5e-14,8.5,0
0.38,0.04,0,-0.4,0.8,3.3860000000000003e-06,-1.22e-12,-3.39e-06,-2.4300000000000003e-12,8.7e-13,8.5,0
0.4,0.04,0,-0.4,0.8,8.893900000000001e-06,-9.34e-12,-8.852000000000001e-06,-3.1e-12,1.1000000000000002e-12,8.5,0
0.42,0.04,0,-0.4,0.8,2.0692e-05,-1.014e-11,-2.0662e-05,-4.150000000000001e-12,-9.600000000000002e-13,8.5,0
0.44,0.04,0,-0.4,0.8,4.3976e-05,1.7450000000000002e-11,-4.3968e-05,-3.82e-12,8.000000000000001e-14,8.5,0
0.46,0.04,0,-0.4,0.8,8.5522e-05,3.1100000000000007e-12,-8.5694e-05,-3.3600000000000002e-12,7.200000000000002e-13,8.5,0
0.48,0.04,0,-0.4,0.8,0.00015376,1.7760000000000002e-11,-0.00015334,-3.1900000000000003e-12,-2.1000000000000001e-13,8.5,0
0.5,0.04,0,-0.4,0.8,0.00025386,2.5250000000000003e-11,-0.0002537,-2.9600000000000007e-12,1.0100000000000001e-12,8.5,0
0.52,0.04,0,-0.4,0.8,0.0003887,1.976e-11,-0.00038882,-2.8400000000000004e-12,2.5e-13,8.5,0
0.54,0.04,0,-0.4,0.8,0.00055502,4.771e-11,-0.00055464,-3.9300000000000004e-12,4e-13,8.5,0
0.56,0.04,0,-0.4,0.8,0.00074448,5.434e-11,-0.00074394,-3.23e-12,-1.4900000000000001e-12,8.5,0
